id,asset_type,name,district,address,phone,alternate_phone,website,latitude,longitude,google_maps_link,source_url,verification_status,confidence,created_at,updated_at
HOSP_HYDE_001,Hospital,Nizam's Institute of Medical Sciences (NIMS),Hyderabad,"Punjagutta Road, Punjagutta Market, Punjagutta, Hyderabad, Telangana 500082",04023489000,04023489244,https://nims.edu.in/,17.4222,78.4533,https://www.googl e.com/maps/search/?api=1&query=17.4222,78.4533,HTTPS://NIMS.EDU.IN/,VERIFIED,2026-06-20T16:23:07.945531,2026-06-20T16:23:07.945531
HOSP_HYDE_002,Hospital,Osmania General Hospital,Hyderabad,"15-5-104, Begum Bazar, Afzal Gunj, Hyderabad, Telangana 500012",04024600121,04024600146,https://omc.ac.in/,17.3732,78.4764,https://www.google.c om/maps/search/?api=1&query=17.3732,78.4764,HTTPS://OMC.AC.IN/,VERIFIED,2026-06-20T16:23:07.945531,2026-06-20T16:23:07.945531
HOSP_HYDE_003,Hospital,Niloufer Hospital for Women and Children,Hyderabad,"11-4-721, Niloufer Hospital Rd, Red Hills, Lakdikapul, Hyderabad, Telangana 500004",04023394265,9343180000,https://nilouferhospital.in/,17.4042,78.4589,https://www.g oogle.com/maps/search/?api=1&query=17.4042,78.4589,HTTPS://NILOUFERHOSPITAL.IN/,VERIFIED,2026-06-20T16:23:07.945531,2026-06-20T16:23:07.945531
HOSP_HYDE_004,Hospital,Sir Ronald Ross Institute of Tropical and Communicable Diseases (Fever Hospital),Hyderabad,"Nallakunta, Hyderabad, Telangana 500044",04027403912,,UNVERIFIED,17.3965,78.502,https://www.google.com/maps /search/?api=1&query=17.3965,78.502,HTTPS://WWW.PROGNOHEALTH.COM/BLOG/GENERAL/LIST-OF-GOVE RNMENT-HOSPITALS-IN-HYDERABAD,VERIFIED,2026-06-20T16:23:07.945531,2026-06-20T16:23:07.945531
HOSP_HYDE_005,Hospital,District Hospital King Koti,Hyderabad,"3-5-773, King Koti Rd, King Koti, Hyderguda, Hyderabad, Telangana 500001",04024753474,,UNVERIFIED,17.3892,78.4835,https://www.google.com/map s/search/?api=1&query=17.3892,78.4835,HTTPS://WWW.ROC-TAIWAN.ORG/INMAA_EN/POST/3246.HTML,V ERIFIED,2026-06-20T16:23:07.945531,2026-06-20T16:23:07.945531
HOSP_SECU_001,Hospital,Gandhi Medical College & Hospital,Secunderabad,"Bhoiguda Road, M.I.G.H colony, Musheerabad, Padmarao Nagar, Secunderabad, Telangana 500003",04027505566,04027502742,https://gmcsecunderabad.org/,17.4244,78.5028,https:// www.google.com/maps/search/?api=1&query=17.4244,78.5028,HTTPS://GMCSECUNDERABAD.ORG/, VERIFIED,2026-06-20T16:23:07.945531,2026-06-20T16:23:07.945531
HOSP_SECU_002,Hospital,KIMS Hospital (Krishna Institute of Medical Sciences),Secunderabad,"1-8-31/1, Minister Road, Secunderabad, Telangana 500003",04044885000,,https://www.kimshospitals.com/secunderabad/,17.4335,,https://www.google.com/maps/search/?api=1&query=17.4335,78.4842,HTTPS://WWW.KIMS HOSPITALS.COM/SECUNDERABAD/,VERIFIED,2026-06-20T16:23:07.945531,2026-06-20T16:23:07.945531
HOSP_SANG_001,Hospital,Government General Hospital Sangareddy,Sangareddy,"Beside Collectorate Office, Ahmed Nagar, Sangareddy, Telangana 502001",8688265135,7036030242,https://gmcsangareddy.org/,17.6294,78.0928,https://www.go ogle.com/maps/search/?api=1&query=17.6294,78.0928,HTTPS://GMCSANGAREDDY.ORG/,VERIFIED,2026-06-20T16:23:07.945531,2026-06-20T16:23:07.945531
HOSP_SANG_002,Hospital,MNR Medical College & Hospital,Sangareddy,"MNR Nagar, Fasalwadi, Sangareddy, Telangana 502294",08455230523,08455230527,https://mnrmch.mnrindia.org/,17.6213,78.1259,https://ww w.google.com/maps/search/?api=1&query=17.6213,78.1259,HTTPS://MNRMCH.MNRINDIA.ORG/,VERIFI ED,2026-06-20T16:23:07.945531,2026-06-20T16:23:07.945531
HOSP_WARA_001,Hospital,Mahatma Gandhi Memorial (MGM) Hospital,Warangal,"Near MGM Circle, Sherpura, Mattewada, Warangal, Telangana 506002",08702425556,9849903030,https://www.kmcwgl.com/mgmh.html,17.9812,79.6015,htt ps://www.google.com/maps/search/?api=1&query=17.9812,79.6015,HTTPS://WARANGAL.TELANGANA.G OV.IN/HEALTH/,VERIFIED,2026-06-20T16:23:07.945531,2026-06-20T16:23:07.945531
