source_url,category,parent_force,state_covered,verification_status,confidence,google_maps_link,,alternate_phone,web site,asset_type,district,name,phone,id,latitude,google_maps_link ,website,address,battalion,longitude
78.4533,,,,https://nims.edu.in/,VERIFIED,https://www.googl e.com/maps/search/?api=1&query=17.4222,['HIGH'],040-23489244,,Hospital,Hyderabad,Nizam's Institute of Medical Sciences (NIMS),040-23489000,hosp_001,17.4222,,https://nims.edu.in/,"Punjagutta Road, Punjagutta Market, Punjagutta, Hyderabad, Telangana 500082",,78.4533
78.4764,,,,https://omc.ac.in/,VERIFIED,https://www.google.c om/maps/search/?api=1&query=17.3732,['HIGH'],040-24600146,,Hospital,Hyderabad,Osmania General Hospital,040-24600121,hosp_002,17.3732,,https://omc.ac.in/,"15-5-104, Begum Bazar, Afzal Gunj, Hyderabad, Telangana 500012",,78.4764
78.4589,,,,https://nilouferhospital.in/,VERIFIED,https://www.g oogle.com/maps/search/?api=1&query=17.4042,['HIG H'],9343180000,,Hospital,Hyderabad,Niloufer Hospital for Women and Children,040-23394265,hosp_003,17.4042,,https://nilouferhospital.in/,"11-4-721, Niloufer Hospital Rd, Red Hills, Lakdikapul, Hyderabad, Telangana 500004",,78.4589
78.502,,,,https://www.prognohealth.com/blog/general/list-of-gove rnment-hospitals-in-hyderabad,VERIFIED,https://www.google.com/maps /search/?api=1&query=17.3965,['MEDIUM'],UNVERIFIED,,Hospital,Hyderabad,Sir Ronald Ross Institute of Tropical and Communicable Diseases (Fever Hospital),040-27403912,hosp_004,17.3965,,UNVERIFIED,"Nallakunta, Hyderabad, Telangana 500044",,78.502
78.4835,,,,https://www.roc-taiwan.org/inmaa_en/post/3246.html,V ERIFIED,https://www.google.com/map s/search/?api=1&query=17.3892,['MEDIUM'],UNVERIFIED,,Hospital,Hyderabad,District Hospital King Koti,040-24753474,hosp_005,17.3892,,UNVERIFIED,"3-5-773, King Koti Rd, King Koti, Hyderguda, Hyderabad, Telangana 500001",,78.4835
78.5028,,,,https://gmcsecunderabad.org/, VERIFIED,https:// www.google.com/maps/search/?api=1&query=17.4244,['HIGH'],040-27502742,,Hospital,Secunderabad,Gandhi Medical College & Hospital,040-27505566,hosp_006,17.4244,,https://gmcsecunderabad.org/,"Bhoiguda Road, M.I.G.H colony, Musheerabad, Padmarao Nagar, Secunderabad, Telangana 500003",,78.5028
78.4842,,,,https://www.kims hospitals.com/secunderabad/,VERIFIED,https://www.google.com/maps/search/?api=1&query=17.4335,['HIGH'],UNVERIFIED,,Hospital,Secunderabad,KIMS Hospital (Krishna Institute of Medical Sciences),040-44885000,hosp_007,17.4335,,https://www.kimshospitals.com/secunderabad/,"1-8-31/1, Minister Road, Secunderabad, Telangana 500003",,7 8.4842
78.0928,,,,https://gmcsangareddy.org/,VERIFIED,https://www.go ogle.com/maps/search/?api=1&query=17.6294,['HI GH'],7036030242,,Hospital,Sangareddy,Government General Hospital Sangareddy,8688265135,hosp_008,17.6294,,https://gmcsangareddy.org/,"Beside Collectorate Office, Ahmed Nagar, Sangareddy, Telangana 502001",,78.0928
78.1259,,,,https://mnrmch.mnrindia.org/,VERIFI ED,https://ww w.google.com/maps/search/?api=1&query=17.6213,['HIGH'],08455-230527,,Hospital,Sangareddy,MNR Medical College & Hospital,08455-230523,hosp_009,17.6213,,https://mnrmch.mnrindia.org/,"MNR Nagar, Fasalwadi, Sangareddy, Telangana 502294",,78.1259
79.6015,,,,https://warangal.telangana.g ov.in/health/,VERIFIED,htt ps://www.google.com/maps/search/?api=1&query=17.9812,['HIGH'],9849903030,,Hospital,Warangal,Mahatma Gandhi Memorial (MGM) Hospital,0870-2425556,hosp_010,17.9812,,https://www.kmcwgl.com/mgmh.html,"Near MGM Circle, Sherpura, Mattewada, Warangal, Telangana 506002",,79.6015
